time,latitude,longitude,par
2022-05-16T00:00:00Z,-21.97917,153.81252,31.748
2022-05-16T00:00:00Z,-21.97917,153.85417,31.698
2022-05-16T00:00:00Z,-21.97917,153.89584,31.182
2022-05-16T00:00:00Z,-21.97917,153.93752,30.582
2022-05-16T00:00:00Z,-21.97917,153.97917,30.192
2022-05-16T00:00:00Z,-21.97917,154.02084,30.348
2022-05-16T00:00:00Z,-21.97917,154.06252,30.668
2022-05-16T00:00:00Z,-21.97917,154.10417,30.158
2022-05-16T00:00:00Z,-21.97917,154.14584,30.572
2022-05-16T00:00:00Z,-21.97917,154.18752,29.676
2022-05-16T00:00:00Z,-21.97917,154.22917,29.744
2022-05-16T00:00:00Z,-21.97917,154.27084,30.352
2022-05-16T00:00:00Z,-21.97917,154.31252,30.186
2022-05-16T00:00:00Z,-21.97917,154.35417,30.21
